Iso_code,Country,Region,Indicator,Category,Sex,Year,Unity,Value
AZE,Azerbaijan,Asia,Violent offences,Serious assault,Total,2003,Counts,155
BEL,Belgium,Europe,Violent offences,Serious assault,Total,2003,Counts,61959
BGR,Bulgaria,Europe,Violent offences,Serious assault,Total,2003,Counts,3806
BHR,Bahrain,Asia,Violent offences,Serious assault,Total,2003,Counts,2701
BLR,Belarus,Europe,Violent offences,Serious assault,Total,2003,Counts,4032
BMU,Bermuda,Americas,Violent offences,Serious assault,Total,2003,Counts,522
BRN,Brunei Darussalam,Asia,Violent offences,Serious assault,Total,2003,Counts,470
CAN,Canada,Americas,Violent offences,Serious assault,Total,2003,Counts,48135
CHE,Switzerland,Europe,Violent offences,Serious assault,Total,2003,Counts,6732
CMR,Cameroon,Africa,Violent offences,Serious assault,Total,2003,Counts,2998
CYP,Cyprus,Asia,Violent offences,Serious assault,Total,2003,Counts,135
DEU,Germany,Europe,Violent offences,Serious assault,Total,2003,Counts,445727
DNK,Denmark,Europe,Violent offences,Serious assault,Total,2003,Counts,10894
DZA,Algeria,Africa,Violent offences,Serious assault,Total,2003,Counts,23050
ECU,Ecuador,Americas,Violent offences,Serious assault,Total,2003,Counts,7084
FIN,Finland,Europe,Violent offences,Serious assault,Total,2003,Counts,28835
FRA,France,Europe,Violent offences,Serious assault,Total,2003,Counts,135003
GBR_E_W,United Kingdom (England and Wales),Europe,Violent offences,Serious assault,Total,2003,Counts,455514
GBR_NI,United Kingdom (Northern Ireland),Europe,Violent offences,Serious assault,Total,2003,Counts,1116
GBR_S,United Kingdom (Scotland),Europe,Violent offences,Serious assault,Total,2003,Counts,62330
GRC,Greece,Europe,Violent offences,Serious assault,Total,2003,Counts,7663
HKG,"China, Hong Kong Special Administrative Region",Asia,Violent offences,Serious assault,Total,2003,Counts,7754
HRV,Croatia,Europe,Violent offences,Serious assault,Total,2003,Counts,1249
HUN,Hungary,Europe,Violent offences,Serious assault,Total,2003,Counts,11442
IRL,Ireland,Europe,Violent offences,Serious assault,Total,2003,Counts,11792
JPN,Japan,Asia,Violent offences,Serious assault,Total,2003,Counts,58505
KGZ,Kyrgyzstan,Asia,Violent offences,Serious assault,Total,2003,Counts,225
LIE,Liechtenstein,Europe,Violent offences,Serious assault,Total,2003,Counts,61
LKA,Sri Lanka,Asia,Violent offences,Serious assault,Total,2003,Counts,22178
LTU,Lithuania,Europe,Violent offences,Serious assault,Total,2003,Counts,543
LVA,Latvia,Europe,Violent offences,Serious assault,Total,2003,Counts,883
MAR,Morocco,Africa,Violent offences,Serious assault,Total,2003,Counts,48662
MCO,Monaco,Europe,Violent offences,Serious assault,Total,2003,Counts,94
MNE,Montenegro,Europe,Violent offences,Serious assault,Total,2003,Counts,141
MNG,Mongolia,Asia,Violent offences,Serious assault,Total,2003,Counts,2440
MUS,Mauritius,Africa,Violent offences,Serious assault,Total,2003,Counts,105
NLD,Netherlands (Kingdom of the),Europe,Violent offences,Serious assault,Total,2003,Counts,53500
NOR,Norway,Europe,Violent offences,Serious assault,Total,2003,Counts,2804
PRT,Portugal,Europe,Violent offences,Serious assault,Total,2003,Counts,44304
PSE,State of Palestine,Asia,Violent offences,Serious assault,Total,2003,Counts,5283
QAT,Qatar,Asia,Violent offences,Serious assault,Total,2003,Counts,291
ROU,Romania,Europe,Violent offences,Serious assault,Total,2003,Counts,9641
SGP,Singapore,Asia,Violent offences,Serious assault,Total,2003,Counts,593
STP,Sao Tome and Principe,Africa,Violent offences,Serious assault,Total,2003,Counts,1
SVK,Slovakia,Europe,Violent offences,Serious assault,Total,2003,Counts,4076
SVN,Slovenia,Europe,Violent offences,Serious assault,Total,2003,Counts,2400
SWE,Sweden,Europe,Violent offences,Serious assault,Total,2003,Counts,65177
SWZ,Eswatini,Africa,Violent offences,Serious assault,Total,2003,Counts,14725
SYR,Syrian Arab Republic,Asia,Violent offences,Serious assault,Total,2003,Counts,5390
TUR,Türkiye,Asia,Violent offences,Serious assault,Total,2003,Counts,91997
UGA,Uganda,Africa,Violent offences,Serious assault,Total,2003,Counts,19491
UKR,Ukraine,Europe,Violent offences,Serious assault,Total,2003,Counts,5703
USA,United States of America,Americas,Violent offences,Serious assault,Total,2003,Counts,859030
ZWE,Zimbabwe,Africa,Violent offences,Serious assault,Total,2003,Counts,78464
ARM,Armenia,Asia,Violent offences,Serious assault,Total,2004,Counts,190
