Iso_code,Country,Relationship,Year,Unity,Value
AUT,Austria,Intimate partner or family member,2013,Counts,509
CAN,Canada,Intimate partner or family member,2013,Counts,4182
CHE,Switzerland,Intimate partner or family member,2013,Counts,517
COL,Colombia,Intimate partner or family member,2013,Counts,1307
CZE,Czechia,Intimate partner or family member,2013,Counts,292
DEU,Germany,Intimate partner or family member,2013,Counts,5940
FIN,Finland,Intimate partner or family member,2013,Counts,185
HUN,Hungary,Intimate partner or family member,2013,Counts,179
MMR,Myanmar,Intimate partner or family member,2013,Counts,25
SVK,Slovakia,Intimate partner or family member,2013,Counts,13
SVN,Slovenia,Intimate partner or family member,2013,Counts,110
AUS,Australia,Intimate partner or family member,2014,Counts,5811
AUT,Austria,Intimate partner or family member,2014,Counts,525
CAN,Canada,Intimate partner or family member,2014,Counts,4180
CHE,Switzerland,Intimate partner or family member,2014,Counts,569
COL,Colombia,Intimate partner or family member,2014,Counts,1307
CZE,Czechia,Intimate partner or family member,2014,Counts,292
DEU,Germany,Intimate partner or family member,2014,Counts,5814
FIN,Finland,Intimate partner or family member,2014,Counts,200
HUN,Hungary,Intimate partner or family member,2014,Counts,239
MMR,Myanmar,Intimate partner or family member,2014,Counts,32
SVK,Slovakia,Intimate partner or family member,2014,Counts,16
SVN,Slovenia,Intimate partner or family member,2014,Counts,65
AUS,Australia,Intimate partner or family member,2015,Counts,6497
AUT,Austria,Intimate partner or family member,2015,Counts,531
BOL,Bolivia (Plurinational State of),Intimate partner or family member,2015,Counts,1213
CAN,Canada,Intimate partner or family member,2015,Counts,4605
CHE,Switzerland,Intimate partner or family member,2015,Counts,588
COL,Colombia,Intimate partner or family member,2015,Counts,1560
CZE,Czechia,Intimate partner or family member,2015,Counts,283
DEU,Germany,Intimate partner or family member,2015,Counts,5598
FIN,Finland,Intimate partner or family member,2015,Counts,231
LTU,Lithuania,Intimate partner or family member,2015,Counts,19
MMR,Myanmar,Intimate partner or family member,2015,Counts,30
NZL,New Zealand,Intimate partner or family member,2015,Counts,588
ROU,Romania,Intimate partner or family member,2015,Counts,238
SVK,Slovakia,Intimate partner or family member,2015,Counts,1
SVN,Slovenia,Intimate partner or family member,2015,Counts,60
VEN,Venezuela (Bolivarian Republic of),Intimate partner or family member,2015,Counts,0
AUS,Australia,Intimate partner or family member,2016,Counts,6942
AUT,Austria,Intimate partner or family member,2016,Counts,532
BOL,Bolivia (Plurinational State of),Intimate partner or family member,2016,Counts,1065
CAN,Canada,Intimate partner or family member,2016,Counts,5133
CHE,Switzerland,Intimate partner or family member,2016,Counts,631
COL,Colombia,Intimate partner or family member,2016,Counts,1792
CZE,Czechia,Intimate partner or family member,2016,Counts,275
DEU,Germany,Intimate partner or family member,2016,Counts,5545
ESP,Spain,Intimate partner or family member,2016,Counts,1100
FIN,Finland,Intimate partner or family member,2016,Counts,261
FRA,France,Intimate partner or family member,2016,Counts,8010
GUY,Guyana,Intimate partner or family member,2016,Counts,5
HRV,Croatia,Intimate partner or family member,2016,Counts,241
HUN,Hungary,Intimate partner or family member,2016,Counts,190
LTU,Lithuania,Intimate partner or family member,2016,Counts,28
LVA,Latvia,Intimate partner or family member,2016,Counts,5
MMR,Myanmar,Intimate partner or family member,2016,Counts,40
